 ,week_days_found,current Weekday,month_found,current month,date_found,current date,time_found,current time,day_match,month_match,date_match,time_match,result,comments,
/P 19h-24h MARDI 1 AVRIL au 1 DEC.,[2],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h30-10h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
/P EXCEPTE S3R 15h-21h LUN A SAM,"[0, 3]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h30-10h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
/P RESERVE S3R 07h-23h,"[0, 1, 2, 3, 4]",5,"[6, 7, 8, 9]",1,"[1, 1]",21,08h-17h,15:09:00,FALSE,FALSE,FALSE,TRUE,{'result': 0},"It is SEPT A JUIN, that means 9,10,11,12,1 to 6",
/P RESERVE S3R 12h-20h LUN A SAM,[1],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h30-10h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
/P S3R 08h30-11h LUN A VEN,[1],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,10h-11h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 00h-07h,[2],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,12h30-13h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 05h-09h   14h30-18h30  LUN A VEN,,5,,1,,21,,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},"RESERVE TAXIS means, No parking to all time, day, date, month. Results will be 1",
\A 05h-09h   15h30-18h30  LUN A VEN,"[0, 1, 2, 3, 4]",5,[],1,[],21,09h30-18h,15:09:00,FALSE,,,TRUE,{'result': 0},"OK, LIVRAISON SEULEMENT means delivery only. ",
\A 05h-09h LUN A VEN,,5,,1,,21,,15:09:00,FALSE,,,TRUE,{'result': 0},"EN TOUT TEMPS means, No parking to all time, day, date, month. Results will be 1",
\A 05h-09h30  14h-18h30 LUN. A VEN,[],5,[],1,[],21,"['07h-19h', '19h-07h']",15:09:00,,,,TRUE,{'result': 1},OK,
\A 05h-09h30 LUN. AU VEN.,,5,,1,,21,,15:09:00,,,,TRUE,{'result': 0},Time is not correct. Results will be 1. This is additional signal for parking is allowed for a certain time. Like P 15,All three signs have same coordinates
\A 05h30-09h  15h-19h LUN. AU VEN.,,5,,1,,21,,15:09:00,,,,TRUE,{'result': 0},Time is not correct. Results will be 1. ,
\A 05h30-09h  16h-18h30 LUN. AU VEN.,"[0, 1, 2, 3, 4]",5,[],1,[],21,16h-18h30,15:09:00,FALSE,,,FALSE,{'result': 0},OK,
\A 05h30-09h LUN. AU VEN.,,5,,1,,21,,15:09:00,FALSE,,,FALSE,{'result': 0},"EN TOUT TEMPS means, No parking to all time, day, date, month. Results will be 1",
\A 05h30-09h30  14h30-18h30 LUN A VEN,"[0, 1, 2, 3, 4]",5,[],1,[],21,08h-09h30,15:09:00,FALSE,,,FALSE,{'result': 0},OK,
\A 06h-09h  15h-18h30 LUN. AU VEN.,[3],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,10h-11h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 06h-09h  15h30-18h LUN. AU VEN.,[4],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,13h-14h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},,
\A 06h-09h  16h-18h LUN. AU VEN.,,5,,1,,21,,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},Results to be 1,
\A 06h-09h LUN. AU VEN.,"[0, 1, 2, 3, 4, 5]",5,[],1,[],21,09h-16h,15:09:00,TRUE,,,TRUE,{'result': 0},,
\A 06h-09h30  15h-18h30 LUNDI AU VENDREDI,"[0, 1, 2, 3, 4, 5]",5,[],1,[],21,08h-19h,15:09:00,TRUE,,,TRUE,{'result': 1},OK,
\A 06h-09h30  15h-19h LUN. AU VEN.,"[0, 1, 2, 3, 4]",5,[],1,[],21,09h-17h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 06h-09h30 LUN. AU VEN.,[1],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h-10h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 06h-10h  15h-19h LUN. AU VEN.,"[1, 3]",5,[],1,[],21,09h-17h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 06h-10h  15h30-19h30 LUN. AU VEN.,[0],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h-10h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 06h-10h LUN. AU VEN.,"[1, 4]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,20h-21h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 06h-19h,"[0, 1, 2, 3, 4]",5,[],1,[],21,16h-18h,15:09:00,FALSE,,,FALSE,{'result': 0},OK,
\A 06h-19h LUN A VEN,"[0, 1, 2, 3, 4]",5,[],1,[],21,13h-16h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 06h30-09h  16h-18h30 LUN A VEN,[3],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,13h-14h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 06h30-09h LUN. AU VEN.,[0],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,13h-14h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 06h30-09h30  15h30-17h30 LUN. AU VEN.,"[0, 3]",5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,12h-13h,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 06h30-09h30  15h30-18h30 LUN. AU VEN.,"[0, 2, 3]",5,[],1,[],21,09h-17h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 06h30-09h30  16h-18h LUNDI AU VENDREDI,"[1, 4]",5,[],1,[],21,09h-17h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 06h30-09h30  16h-18h30 LUN. AU VEN.,,5,,1,,21,,15:09:00,FALSE,,,TRUE,{'result': 0},,
\A 06h30-09h30 LUN. AU VEN.,[3],5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",1,"[1, 1]",21,09h30-10h30,15:09:00,FALSE,FALSE,FALSE,FALSE,{'result': 0},OK,
\A 06h30-18h30 LUN A VEN,"[0, 1, 2, 3, 4]",5,[],1,[],21,09h-21h,15:09:00,FALSE,,,TRUE,{'result': 0},OK,
\A 07h-08h ET 13h-15h LUN A VEN SEPT. A JUIN EXCEPTE AUTOBUS SCOLAIRE,,5,,1,,21,09h-22h30,15:09:00,,,,,{'result': 0},OK,
